monthly_income,repayment_score,existing_debt,credit_history_years,late_payments,credit_score
165111,51,123793,19,11,555
29017,76,370059,17,0,697
97901,37,15096,19,1,634
128000,31,846479,18,8,483
54215,62,735002,18,7,558
27583,18,328035,15,11,339
178991,90,118160,0,3,609
62025,6,532720,4,5,300
190326,9,408916,14,1,530
192347,11,649078,11,11,348
72943,95,518372,0,4,540
155586,2,319006,13,1,486
184488,29,942700,17,4,551
16511,51,97186,17,6,537
164714,69,308762,5,6,537
97151,23,82774,0,8,300
243197,7,896671,16,2,536
197966,56,784912,17,11,540
39225,77,583946,14,3,622
166918,62,617600,11,8,534
44152,74,383195,12,7,543
121053,80,128081,19,11,620
81107,15,924208,1,6,300
196426,53,871976,3,7,447
139387,43,146451,2,8,392
172260,83,578886,18,11,626
75910,85,304164,7,3,605
57530,35,532861,11,4,462
93753,79,415631,11,8,557
56999,14,853100,9,6,336
21609,93,313772,0,3,532
204841,69,52287,4,5,572
193469,49,375982,19,10,568
64322,18,502550,10,0,466
20151,51,263088,8,0,532
21406,1,399056,13,8,307
77678,27,446330,2,7,316
62062,64,301586,4,0,550
226501,60,258153,8,10,512
179028,91,174561,17,1,810
126377,89,700621,5,3,607
68830,41,306422,6,0,505
218753,21,820034,15,1,574
244975,14,282278,7,4,463
28133,20,856152,9,7,324
27209,92,334858,4,5,541
124828,85,463920,10,5,623
238573,87,688014,12,3,727
89681,11,201599,19,1,544
69345,66,270290,1,2,501
57585,84,112188,13,5,631
49638,24,464042,8,5,383
35645,89,512142,9,4,594
33408,37,712910,9,5,414
27521,86,745445,9,10,481
102414,24,904654,18,5,492
143432,15,473596,10,0,497
138520,12,523464,10,5,409
53221,95,903172,2,4,535
115131,64,749778,18,7,594
167158,31,368599,0,8,341
31923,53,720924,11,5,481
96761,94,188603,14,11,597
22202,84,608068,13,11,503
110675,72,139006,2,9,450
243582,44,357525,19,3,684
238549,30,231948,12,2,589
183278,35,179121,17,9,524
165957,21,368499,15,11,416
125443,63,448496,5,0,583
26218,92,95597,9,6,585
60692,17,446620,16,4,463
198761,12,2127,16,3,550
240358,18,206691,7,8,415
112148,92,718096,3,6,543
21716,60,674451,14,9,468
31088,67,927437,0,7,374
46001,15,387697,6,3,367
168656,16,278021,9,9,376
146022,22,952085,6,11,300
19286,95,798951,0,9,427
150811,63,466568,16,7,600
45158,31,532639,11,3,459
115393,1,385367,16,0,505
20605,75,408864,14,10,508
71492,6,319692,15,7,385
18321,87,109538,13,0,695
190613,9,355141,2,11,300
197773,52,500016,18,2,684
245592,80,193895,11,6,675
249261,62,387741,18,2,745
27170,58,241509,17,7,542
71045,19,961984,13,4,424
