transaction_amount,transaction_hour,location_risk,device_risk,previous_failed_attempts,is_fraud
62557,21,3,2,5,0
166515,5,2,8,4,1
193561,13,8,7,1,1
139828,3,6,5,0,1
5841,21,7,2,2,0
147833,18,1,9,2,1
97191,22,6,5,3,1
28790,6,2,8,4,1
32933,3,6,4,1,0
102666,1,3,9,4,1
71340,6,7,7,0,0
106998,2,3,2,3,1
77811,14,9,3,1,0
188313,0,3,2,4,1
39123,1,7,5,1,1
40309,9,4,2,0,0
93690,15,8,5,3,1
86712,14,2,9,1,0
80622,23,8,2,0,0
111754,14,9,9,2,1
145612,13,8,7,1,1
119207,21,6,7,3,1
139132,13,1,5,6,1
22562,5,7,8,5,1
17921,13,1,7,5,0
188944,16,7,6,1,1
158430,17,2,2,1,1
92989,19,8,6,0,1
89052,18,2,2,4,0
193696,16,3,1,5,1
153287,15,3,9,7,1
118166,7,1,5,4,1
177605,6,5,4,5,1
79464,19,5,8,1,0
70177,11,5,5,7,0
40744,8,9,7,3,0
62743,13,6,3,3,0
13411,19,6,8,6,1
129566,0,3,8,5,1
30631,9,5,3,7,0
14688,16,7,9,5,1
49516,16,3,8,0,0
143552,16,2,1,1,1
173817,3,5,8,1,1
148990,16,3,4,6,1
162029,17,5,6,4,1
21811,19,9,9,0,0
136269,22,1,5,2,1
116448,1,4,7,3,1
159565,7,5,1,3,1
22176,12,2,9,1,0
84374,22,2,6,6,0
57709,21,1,4,7,0
160489,19,8,6,0,1
58580,21,2,5,2,0
7144,14,3,3,3,0
55586,19,2,7,0,0
55262,22,4,3,2,0
29982,8,1,2,5,0
54178,2,3,4,1,0
58834,2,5,7,4,0
108830,1,1,5,3,1
174998,0,4,9,3,1
88085,13,6,7,2,0
44128,16,4,9,4,1
182503,12,7,9,7,1
99038,18,7,2,5,1
118419,22,6,1,0,1
32643,14,9,4,1,0
124379,13,2,4,0,1
29462,1,8,2,2,1
158487,6,8,3,7,1
158918,16,4,3,7,1
141229,17,6,5,3,1
43015,5,6,1,5,0
152233,20,5,9,3,1
51470,7,1,8,0,0
165329,1,3,8,5,1
111475,0,7,3,6,1
142494,15,8,2,1,1
69912,6,2,1,2,0
34117,21,3,6,1,0
56892,23,4,1,7,0
158914,10,5,5,2,1
195980,14,3,9,7,1
129298,12,5,9,1,1
17729,23,8,4,6,0
128714,1,8,7,0,1
139417,13,2,7,4,1
97050,23,6,4,5,1
175042,5,4,5,2,1
64929,8,9,9,0,0
10688,6,2,7,3,0
131614,17,8,7,3,1
105380,23,1,7,1,1
40821,8,6,9,7,1
168317,22,1,5,3,1
10699,3,2,6,7,0
72694,8,3,3,4,0
134111,3,9,1,2,1
22249,11,5,2,1,0
127716,3,2,8,2,1
197739,23,5,1,2,1
141380,19,5,7,6,1
197270,13,1,5,0,1
109134,23,3,6,3,1
180664,23,5,8,5,1
21051,6,9,4,2,0
180092,12,1,6,7,1
46866,21,8,3,4,0
57114,7,1,7,6,0
159523,22,9,2,7,1
180558,4,6,8,4,1
87222,11,1,7,7,0
9408,12,8,8,5,1
59352,19,5,2,3,0
83311,13,7,3,3,0
159236,17,7,4,1,1
185051,23,7,9,1,1
126634,19,6,5,7,1
8820,3,8,6,1,1
126304,20,9,1,3,1
174112,17,2,4,2,1
80093,6,7,4,7,0
199647,14,2,8,0,1
47213,20,6,8,5,1
49026,5,2,6,6,0
169375,15,6,8,5,1
136564,19,2,9,5,1
26005,23,1,5,1,0
50485,7,7,1,0,0
30753,20,3,1,4,0
91965,15,4,2,3,1
125913,21,6,2,4,1
145971,15,5,5,1,1
191275,2,4,7,2,1
15152,16,9,7,6,0
137216,8,6,4,6,1
151043,2,6,4,1,1
151406,19,2,3,0,1
21481,6,6,2,6,0
148446,17,7,3,1,1
83208,11,8,8,5,1
49992,18,8,1,2,0
181693,15,9,4,2,1
91601,21,3,7,3,1
83491,23,7,5,3,0
18020,16,7,2,5,0
16802,19,1,1,7,0
1994,14,8,6,7,0
31085,0,4,5,2,0
159459,1,5,3,7,1
125802,7,6,9,5,1
73627,21,3,3,2,0
146611,1,5,2,7,1
128776,18,5,5,7,1
42335,8,1,9,7,1
158831,8,3,8,0,1
25076,12,3,6,7,0
82743,5,1,3,7,0
199037,14,7,6,1,1
107731,18,1,5,3,1
199478,20,7,1,0,1
56797,14,4,5,6,0
70482,17,9,7,7,0
16751,6,7,9,7,1
180216,10,5,1,1,1
14733,7,7,3,7,0
79264,5,9,8,7,1
669,7,6,6,7,0
191072,1,1,5,3,1
67609,18,6,2,6,0
123525,15,1,3,5,1
101226,6,4,2,6,1
127622,9,8,1,0,1
33138,11,5,7,7,0
180260,16,5,3,4,1
197965,6,8,7,6,1
38238,21,8,7,4,0
194482,7,1,8,3,1
159929,6,5,1,0,1
187323,3,5,5,6,1
110840,2,8,9,7,1
111274,18,1,7,1,1
49372,14,7,1,6,0
138080,3,7,8,7,1
142016,8,9,3,1,1
51555,12,2,4,0,0
68547,17,3,4,4,0
77208,20,4,8,0,0
174238,15,1,1,7,1
171176,0,7,8,4,1
38433,3,3,9,4,1
121319,17,3,9,5,1
83129,7,3,5,5,0
39797,19,8,4,1,0
17734,15,9,4,3,0
125620,20,2,9,2,1
24661,10,1,8,0,0
149205,19,9,7,4,1
55163,20,6,3,7,0
26021,20,9,4,0,0
19440,20,6,9,3,0
62881,18,2,8,7,1
15001,22,1,1,3,0
10738,18,8,3,2,0
169768,17,3,2,7,1
44424,18,1,2,6,0
88456,10,8,8,2,0
32742,2,1,6,4,0
25478,7,8,6,5,0
50967,19,1,4,6,0
73786,18,9,1,2,0
42975,9,9,7,5,0
118271,15,9,8,6,1
100161,4,3,2,5,1
64477,19,4,2,4,0
54791,8,5,1,7,0
195475,7,6,4,1,1
192011,10,9,6,7,1
49163,15,4,5,5,0
91882,6,6,4,7,1
78443,14,1,4,4,0
83171,23,2,7,2,0
136664,20,8,7,0,1
121499,19,4,2,2,1
31457,22,7,7,7,0
32414,16,4,2,3,0
179869,5,9,4,2,1
70383,14,9,1,1,0
59667,7,4,5,4,0
47106,6,8,1,5,0
191183,1,6,4,3,1
141858,12,1,9,4,1
168621,22,7,8,4,1
61706,5,1,6,5,0
18991,4,3,8,6,1
183287,19,8,5,2,1
101832,0,9,7,0,1
191891,17,3,8,6,1
167895,14,1,7,3,1
29977,22,1,4,5,0
14126,9,7,5,1,0
20522,2,5,6,1,0
140416,4,1,6,0,1
33581,23,6,9,0,0
89280,12,6,2,2,0
109484,7,4,6,1,1
58131,21,7,3,3,0
139693,20,7,2,7,1
132918,1,9,6,5,1
83227,8,1,4,0,0
92354,16,5,5,0,1
68332,17,3,5,0,0
143184,12,7,3,7,1
80324,0,4,4,5,0
154629,11,4,3,3,1
30060,19,1,7,1,0
87795,19,1,1,7,0
130166,20,2,6,7,1
139082,4,2,4,6,1
2793,7,1,1,3,0
115413,14,8,1,5,1
147030,2,6,5,3,1
28910,5,6,5,2,0
20192,12,9,7,6,0
179872,11,5,4,5,1
58205,18,4,9,6,1
161677,17,6,4,6,1
28655,23,8,7,0,0
72034,0,1,5,1,0
72888,6,7,5,6,0
77357,11,8,6,2,0
18039,9,9,8,2,0
142997,11,8,5,5,1
155323,10,7,3,4,1
128168,3,3,6,7,1
136,18,2,2,0,0
94048,5,3,8,1,1
83807,8,4,8,1,0
39151,19,4,3,1,0
80838,9,6,8,7,1
73696,4,7,9,5,1
60171,12,4,5,0,0
130713,8,6,5,6,1
73701,1,9,6,6,1
29973,17,6,7,5,0
167820,20,3,3,1,1
71568,0,1,5,7,0
26570,23,5,1,6,0
196301,20,3,5,3,1
8428,11,8,4,3,0
137505,9,1,1,7,1
121273,1,2,7,7,1
46738,8,3,1,0,0
11368,1,3,8,1,0
114020,22,8,2,5,1
110479,23,5,5,7,1
148217,21,8,6,7,1
171913,13,6,9,4,1
173942,10,2,7,7,1
7987,22,4,6,4,0
25018,10,9,5,4,0
35597,16,4,6,3,0
93662,3,5,4,5,1
192181,12,5,1,4,1
12029,6,8,9,1,0
102301,15,6,5,1,1
192934,0,7,8,4,1
116666,12,6,7,2,1
28646,0,5,8,4,1
168510,10,5,1,2,1
165455,5,3,9,0,1
82594,19,7,1,0,0
46666,2,5,3,1,0
85564,11,7,8,5,1
128379,4,2,1,3,1
82091,8,9,1,5,0
92780,11,8,6,1,1
28113,9,5,5,1,0
52232,18,2,6,5,0
159256,4,6,3,3,1
107955,4,8,6,1,1
152315,8,7,2,6,1
91727,19,8,8,6,1
122872,16,4,6,3,1
145351,9,3,4,1,1
189898,20,7,4,6,1
