age,monthly_income,loan_amount,credit_history_years,existing_debt,employment_years,debt_to_income,loan_approved
59,63231,1448949,12,88741,12,1.403441349970742,1
49,44301,1233765,10,18830,1,0.42504683867181325,1
35,187395,1713129,10,317188,6,1.6926171989647536,1
28,33752,572154,4,69202,14,2.0503081298885992,0
41,113452,672006,3,299189,10,2.637141698691958,1
59,159467,1421430,4,217394,1,1.3632538393523426,1
39,136237,1061930,7,510473,6,3.7469483326849535,1
43,71273,1717740,2,202123,3,2.8358985871227533,1
31,106878,1034558,13,157699,10,1.4755047811523418,1
31,19895,1129525,6,277342,1,13.940286504146771,0
44,134968,1835818,14,504655,15,3.73907148361093,1
56,130700,904568,13,630759,6,4.826006120887529,1
44,91559,1210117,5,236824,12,2.5865725925359606,1
23,25699,1818555,11,512214,4,19.931281372816063,0
42,24715,111842,0,19403,16,0.7850697956706454,0
22,34169,538019,12,3681,11,0.10772922824782698,0
44,133413,1331506,6,353699,18,2.65115843283638,1
50,162235,339134,13,639548,6,3.942108669522606,1
58,134264,721553,12,697652,5,5.196121074897217,1
22,20782,1390829,6,629674,7,30.299008757578672,0
41,139481,180356,13,757666,12,5.432037338418853,1
53,50585,818917,14,398845,4,7.8846495996837005,1
32,45682,787090,11,93246,1,2.0411978459787226,1
42,193936,964565,0,95864,8,0.49430740037950666,0
45,144992,1788446,8,208886,10,1.4406725888324874,1
47,99416,837738,5,270561,5,2.721503580912529,1
48,142810,1102425,14,381032,6,2.668104474476577,1
36,53067,62360,11,165837,6,3.1250494657696875,1
35,188757,423216,1,245160,18,1.298812759261908,0
23,33073,827567,4,187646,5,5.673691530855986,0
57,51035,669055,12,483761,10,9.47900460468306,1
27,105373,311445,10,783566,10,7.43611741148112,1
41,98362,1799736,3,256681,6,2.6095545027551292,1
29,105517,1620234,6,465483,1,4.411450287631377,1
59,80450,480179,7,695923,18,8.650379117464263,1
38,25382,104330,10,535620,3,21.102356000315183,0
24,150509,101707,13,779105,5,5.176467852420785,1
45,76929,330833,14,220326,16,2.8640174706547596,1
34,113864,1651948,10,723807,4,6.356767722897492,1
29,158401,1138963,0,261849,6,1.6530766851219374,0
46,40169,1959824,4,319248,8,7.9476213000074685,0
22,102468,1625506,14,346479,0,3.381338564234688,1
40,49594,1927145,2,377082,0,7.603379441061419,0
48,60033,1571624,0,80730,18,1.3447603817900156,0
27,78133,236633,11,398167,5,5.096015767985358,1
28,88861,1947268,2,237474,17,2.67242097207999,1
55,198362,1769374,13,290477,9,1.464378257932467,1
34,46750,884874,5,283817,10,6.070951871657754,1
37,55461,939493,13,565158,0,10.190187699464488,1
56,93222,446210,6,253017,0,2.7141340027032244,1
24,127020,828799,7,651824,12,5.131664304833884,1
22,39226,1486564,12,333245,4,8.495513180033651,0
26,21721,1460295,10,25494,19,1.1737028681920723,0
24,35609,838245,3,623765,0,17.517060293745963,0
49,198202,929459,2,388227,19,1.958744109544808,1
38,145513,134381,4,729520,2,5.0134352257186645,1
46,119211,1872744,8,374842,17,3.1443574837892476,1
54,194967,891708,12,373704,8,1.9167551431780763,1
30,151728,1926251,5,394051,13,2.597088210481915,1
56,139865,243984,14,280790,16,2.007578736638902,1
34,89520,1158848,8,123777,13,1.3826742627345845,1
51,79309,1594492,14,601648,3,7.586125156035255,1
35,44984,1795987,5,299479,4,6.657455984349991,0
28,133947,1046358,1,133501,16,0.9966703248299701,0
34,20901,788096,12,304094,1,14.549256016458543,0
43,177624,303091,4,584942,4,3.293147322433905,1
41,46055,902050,11,369566,3,8.024449028335686,1
36,183757,314064,10,372078,3,2.024837149060988,1
38,160788,1204697,8,119975,5,0.7461688683235067,1
44,129099,520435,7,723503,19,5.604249451970968,1
46,26138,651160,6,353330,12,13.517866707475706,0
45,181370,1966140,0,366378,4,2.0200584440646194,0
49,197184,314237,3,626614,6,3.1778136157091854,1
35,38429,325049,11,77527,19,2.017408727783705,1
21,65200,696047,6,348848,0,5.35042944785276,1
45,194316,467567,10,432601,13,2.226275757014348,1
27,116268,1391701,6,166991,3,1.4362593318883958,1
29,32347,1958911,14,96952,16,2.997248585649365,0
44,162992,1955829,5,333260,13,2.044640227741239,1
21,46822,1469920,7,465806,15,9.948443039596771,1
28,192731,132289,10,433603,13,2.2497833768309197,1
44,55108,690794,12,671183,15,12.179411337736807,0
31,143955,1701377,5,46015,19,0.3196485012677573,1
37,22967,1511666,9,102877,7,4.479339922497497,0
28,125719,1804867,2,277483,2,2.2071683675498535,1
55,26871,1499466,3,523165,18,19.469502437572103,0
55,179685,1411236,13,658851,0,3.6667000584355955,1
53,43179,309480,2,393922,1,9.122999606290096,1
25,198260,1884907,0,621781,14,3.136189851709876,0
59,70099,1814622,14,671088,9,9.573431860654217,1
48,50262,1586643,9,496753,17,9.883271656519836,1
27,93213,1429932,4,715768,13,7.678843079827921,1
29,132407,183498,14,391670,16,2.9580762346401626,1
28,164340,1352600,0,431739,12,2.6271084337349397,0
32,101269,1753834,0,645936,0,6.378417877139105,0
54,75545,1188585,1,287307,4,3.80312396584817,0
53,54922,773858,12,673078,12,12.25516186591894,0
43,57913,473159,3,611796,13,10.564052976015748,1
44,112033,771755,5,739127,2,6.597404336222363,1
57,119792,94816,7,301763,14,2.5190580339254707,1
55,195913,54138,12,274270,18,1.3999581446866722,1
42,192404,1189752,2,589214,16,3.0623791605164135,1
47,134863,1436665,0,40633,2,0.3012909396943565,0
55,171104,840449,2,208726,15,1.219877968954554,1
21,183918,846883,11,3317,13,0.018035211344185995,1
55,59936,1816892,2,307124,11,5.1241991457554725,1
57,175866,406007,4,717006,11,4.077001808194876,1
34,196403,846710,10,711323,10,3.621752213560893,1
23,43141,271552,11,440847,16,10.21874782689321,1
21,155146,93764,11,704676,7,4.5420184858133625,1
25,152478,173030,3,367508,16,2.4102362308005087,1
46,112359,968638,12,452558,19,4.027785936151087,1
34,138279,1947951,3,277648,10,2.0078826141351906,1
59,169363,1718531,8,723953,1,4.274564101958515,1
47,56568,366462,6,419876,9,7.4225003535567815,1
29,112539,939855,3,319532,9,2.8393001537244866,1
35,61851,1464718,2,212369,10,3.4335580669673895,1
35,69823,110128,5,579789,5,8.303696489695373,1
46,38312,269128,2,708669,3,18.497311547295887,0
33,189180,858301,5,27043,11,0.14294851464213976,1
52,180243,1332116,10,33635,10,0.18660918870635754,1
59,187851,55039,12,210387,12,1.1199674209879107,1
52,113723,202353,10,80691,4,0.7095398468207839,1
24,27411,162935,12,499730,5,18.23100215242056,0
50,72009,1633306,12,93944,0,1.3046147009401603,1
57,161494,1958796,11,727467,5,4.504606982302748,1
43,188540,1388306,8,455796,17,2.417502917152859,1
59,47371,103053,5,515578,8,10.883831880264296,1
35,72022,1280137,11,39236,14,0.5447779845047347,1
49,86229,1837040,3,266294,7,3.0882185807558944,1
56,114071,136346,14,373513,18,3.274390511172866,1
33,197268,379231,4,528425,15,2.6787162641685422,1
52,111774,455841,12,554280,5,4.958934993826829,1
27,41715,608685,5,115140,5,2.7601582164688963,1
42,42605,1419391,10,175993,2,4.130806243398662,1
48,114853,166214,2,645513,9,5.620340783436219,1
22,46174,535001,7,472585,0,10.234872439034955,1
26,156028,903329,3,335834,13,2.152395723844438,1
48,91373,1780085,7,296379,3,3.2436168233504428,1
48,84252,1037410,9,210047,11,2.493080282960642,1
40,85017,1497075,9,543410,5,6.391780467435924,1
50,78037,450826,2,286100,10,3.6662096185142947,1
31,104818,486542,9,63879,11,0.609427770039497,1
48,21548,1375644,6,582848,9,27.048821236309635,0
45,131981,687431,10,372454,17,2.822027413036725,1
59,169249,422397,12,724045,6,4.277986871414306,1
53,39022,412441,11,237268,6,6.080364922351494,1
21,121297,1885877,8,479280,10,3.951293107001822,1
47,151614,933520,3,507656,3,3.3483451396309047,1
33,75428,1886022,7,787600,19,10.441745770801294,1
23,168812,584391,2,307268,0,1.8201786602848138,1
59,74353,1574314,6,691257,12,9.296961790378331,1
26,128132,1995325,2,670392,17,5.23204195673212,1
28,31052,476674,11,314941,8,10.142374082184723,0
47,115689,1058109,14,437043,8,3.777740321033115,1
29,193148,132409,14,789948,8,4.08985855406217,1
57,199492,1121824,6,150823,9,0.7560353297375333,1
53,146743,1580952,13,554661,1,3.7798123249490607,1
44,15163,748876,10,122026,5,8.047615907142387,0
35,56424,1778106,9,30270,14,0.5364738409187579,1
52,199816,1106600,9,232931,2,1.16572746927173,1
52,156706,525430,10,720177,10,4.5957206488583715,1
44,150870,1333440,10,65184,5,0.4320540862994631,1
32,37420,1970955,5,507532,2,13.563121325494388,0
59,135575,1273451,1,735053,10,5.421744421906694,0
22,44300,986800,10,562167,14,12.69,0
23,104881,1452549,2,311741,12,2.972330546047425,1
57,25749,1977716,5,3626,19,0.14082100275738862,0
